n = 19
stations = 20
disc = 3
root = 9
max_h = 5
min_h = 1
max_w = 5

travel = [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20]
permitted = [1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1]

D = [[	0, 	6900, 	6000, 	9300, 	5400, 	1200, 	900, 	300, 	600, 	900, 	1200, 	600, 	300, 	900, 	300, 	1200, 	600, 	300, 	900, 	300], 	
[	6900, 	0, 	11500, 	17825, 	10350, 	2300, 	1725, 	575, 	1150, 	1725, 	2300, 	1150, 	575, 	1725, 	575, 	2300, 	1150, 	575, 	1725, 	575], 	
[	6000, 	11500, 	0, 	15500, 	9000, 	2000, 	1500, 	500, 	1000, 	1500, 	2000, 	1000, 	500, 	1500, 	500, 	2000, 	1000, 	500, 	1500, 	500], 	
[	9300, 	17825, 	15500, 	0, 	13950, 	3100, 	2325, 	775, 	1550, 	2325, 	3100, 	1550, 	775, 	2325, 	775, 	3100, 	1550, 	775, 	2325, 	775], 	
[	5400, 	10350, 	9000, 	13950, 	0, 	1800, 	1350, 	450, 	900, 	1350, 	1800, 	900, 	450, 	1350, 	450, 	1800, 	900, 	450, 	1350, 	450], 	
[	1200, 	2300, 	2000, 	3100, 	1800, 	0, 	300, 	100, 	200, 	300, 	400, 	200, 	100, 	300, 	100, 	400, 	200, 	100, 	300, 	100], 	
[	900, 	1725, 	1500, 	2325, 	1350, 	300, 	0, 	75, 	150, 	225, 	300, 	150, 	75, 	225, 	75, 	300, 	150, 	75, 	225, 	75], 	
[	300, 	575, 	500, 	775, 	450, 	100, 	75, 	0, 	50, 	75, 	100, 	50, 	25, 	75, 	25, 	100, 	50, 	25, 	75, 	25], 	
[	600, 	1150, 	1000, 	1550, 	900, 	200, 	150, 	50, 	0, 	150, 	200, 	100, 	50, 	150, 	50, 	200, 	100, 	50, 	150, 	50], 	
[	900, 	1725, 	1500, 	2325, 	1350, 	300, 	225, 	75, 	150, 	0, 	300, 	150, 	75, 	225, 	75, 	300, 	150, 	75, 	225, 	75], 	
[	1200, 	2300, 	2000, 	3100, 	1800, 	400, 	300, 	100, 	200, 	300, 	0, 	200, 	100, 	300, 	100, 	400, 	200, 	100, 	300, 	100], 	
[	600, 	1150, 	1000, 	1550, 	900, 	200, 	150, 	50, 	100, 	150, 	200, 	0, 	50, 	150, 	50, 	200, 	100, 	50, 	150, 	50], 	
[	300, 	575, 	500, 	775, 	450, 	100, 	75, 	25, 	50, 	75, 	100, 	50, 	0, 	75, 	25, 	100, 	50, 	25, 	75, 	25], 	
[	900, 	1725, 	1500, 	2325, 	1350, 	300, 	225, 	75, 	150, 	225, 	300, 	150, 	75, 	0, 	75, 	300, 	150, 	75, 	225, 	75], 	
[	300, 	575, 	500, 	775, 	450, 	100, 	75, 	25, 	50, 	75, 	100, 	50, 	25, 	75, 	0, 	100, 	50, 	25, 	75, 	25], 	
[	1200, 	2300, 	2000, 	3100, 	1800, 	400, 	300, 	100, 	200, 	300, 	400, 	200, 	100, 	300, 	100, 	0, 	200, 	100, 	300, 	100], 	
[	600, 	1150, 	1000, 	1550, 	900, 	200, 	150, 	50, 	100, 	150, 	200, 	100, 	50, 	150, 	50, 	200, 	0, 	50, 	150, 	50], 	
[	300, 	575, 	500, 	775, 	450, 	100, 	75, 	25, 	50, 	75, 	100, 	50, 	25, 	75, 	25, 	100, 	50, 	0, 	75, 	25], 	
[	900, 	1725, 	1500, 	2325, 	1350, 	300, 	225, 	75, 	150, 	225, 	300, 	150, 	75, 	225, 	75, 	300, 	150, 	75, 	0, 	75], 	
[	300, 	575, 	500, 	775, 	450, 	100, 	75, 	25, 	50, 	75, 	100, 	50, 	25, 	75, 	25, 	100, 	50, 	25, 	75, 	0] 	]
